"region","index","alpha_frac","gamma_frac","delta_frac","omicron_frac","other_frac"
"California",2022-03-26,0,0,0.000593471810089021,0.999406528189911,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-10,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-10,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-10,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-10,0,0,0,1,0
"Southern California Health Officers",2022-03-10,0,0,0,1,0
"California",2022-03-10,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-11,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-11,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-11,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-11,0,0,0,1,0
"Southern California Health Officers",2022-03-11,0,0,0,1,0
"California",2022-03-11,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-12,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-12,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-12,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-12,0,0,0,1,0
"Southern California Health Officers",2022-03-12,0,0,0.00182815356489945,0.998171846435101,0
"California",2022-03-12,0,0,0.000535045478865704,0.999464954521134,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-13,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-13,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-13,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-13,0,0,0,1,0
"Southern California Health Officers",2022-03-13,0,0,0.00180505415162455,0.998194945848375,0
"California",2022-03-13,0,0,0.000527148128624143,0.999472851871376,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-14,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-14,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-14,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-14,0,0,0,1,0
"Southern California Health Officers",2022-03-14,0,0,0.00172711571675302,0.998272884283247,0
"California",2022-03-14,0,0,0.000520833333333333,0.999479166666667,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-15,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-15,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-15,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-15,0,0,0.00323624595469256,0.996763754045307,0
"Southern California Health Officers",2022-03-15,0,0,0.00188679245283019,0.99811320754717,0
"California",2022-03-15,0,0,0.00115340253748558,0.998846597462514,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-16,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-16,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-16,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-16,0,0,0.00392156862745098,0.996078431372549,0
"Southern California Health Officers",2022-03-16,0,0,0.00208768267223382,0.997912317327766,0
"California",2022-03-16,0,0,0.00123839009287926,0.998761609907121,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-17,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-17,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-17,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-17,0,0,0.00418410041841004,0.99581589958159,0
"Southern California Health Officers",2022-03-17,0,0,0.00220264317180617,0.997797356828194,0
"California",2022-03-17,0,0,0.00132362673726009,0.99867637326274,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-18,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-18,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-18,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-18,0,0,0.00434782608695652,0.995652173913044,0
"Southern California Health Officers",2022-03-18,0,0,0.00224719101123596,0.997752808988764,0
"California",2022-03-18,0,0,0.00136986301369863,0.998630136986301,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-25,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-25,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-25,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-25,0,0,0.00109529025191676,0.998904709748083,0
"Southern California Health Officers",2022-02-25,0,0,0.000634517766497462,0.999365482233502,0
"California",2022-02-25,0,0,0.000445930880713489,0.999554069119286,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-26,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-26,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-26,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-26,0,0,0.00116009280742459,0.998839907192575,0
"Southern California Health Officers",2022-02-26,0,0,0.000681198910081744,0.999318801089918,0
"California",2022-02-26,0,0,0.000475624256837099,0.999524375743163,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-27,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-27,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-27,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-27,0,0,0.00120048019207683,0.998799519807923,0
"Southern California Health Officers",2022-02-27,0,0,0.000733137829912023,0.999266862170088,0
"California",2022-02-27,0,0,0.000504540867810293,0.99949545913219,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-28,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-28,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-28,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-28,0,0,0.00120918984280532,0.998790810157195,0
"Southern California Health Officers",2022-02-28,0,0,0.000765110941086458,0.999234889058913,0
"California",2022-02-28,0,0,0.000504413619167718,0.999495586380832,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-01,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-01,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-01,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-01,0,0,0,1,0
"Southern California Health Officers",2022-03-01,0,0,0.00099304865938431,0.999006951340616,0
"California",2022-03-01,0,0,0.00031210986267166,0.999687890137328,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-02,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-02,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-02,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-02,0,0,0,1,0
"Southern California Health Officers",2022-03-02,0,0,0.00111607142857143,0.998883928571429,0
"California",2022-03-02,0,0,0.000343288705801579,0.999656711294198,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-03,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-03,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-03,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-03,0,0,0,1,0
"Southern California Health Officers",2022-03-03,0,0,0,1,0
"California",2022-03-03,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-04,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-04,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-04,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-04,0,0,0,1,0
"Southern California Health Officers",2022-03-04,0,0,0,1,0
"California",2022-03-04,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-05,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-05,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-05,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-05,0,0,0,1,0
"Southern California Health Officers",2022-03-05,0,0,0,1,0
"California",2022-03-05,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-06,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-06,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-06,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-06,0,0,0,1,0
"Southern California Health Officers",2022-03-06,0,0,0,1,0
"California",2022-03-06,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-07,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-07,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-07,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-07,0,0,0,1,0
"Southern California Health Officers",2022-03-07,0,0,0,1,0
"California",2022-03-07,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-08,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-08,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-08,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-08,0,0,0,1,0
"Southern California Health Officers",2022-03-08,0,0,0,1,0
"California",2022-03-08,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-03-09,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-03-09,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-03-09,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-03-09,0,0,0,1,0
"Southern California Health Officers",2022-03-09,0,0,0,1,0
"California",2022-03-09,0,0,0,1,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-24,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-24,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-24,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-24,0,0,0.00102354145342886,0.998976458546571,0
"Southern California Health Officers",2022-02-24,0,0,0.000271370420624152,0.999728629579376,0
"California",2022-02-24,0,0,0.000290275761973875,0.999709724238026,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-14,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-14,0,0,0.000910746812386157,0.999089253187614,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-14,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-14,0,0,0.000372995151063036,0.999627004848937,0
"Southern California Health Officers",2022-02-14,0,0,0.000337040781934614,0.999662959218065,0
"California",2022-02-14,0,0,0.000290242061879608,0.99970975793812,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-15,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-15,0,0,0.00306748466257669,0.996932515337423,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-15,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-15,0,0,0,1,0
"Southern California Health Officers",2022-02-15,0,0,0.000245248313917842,0.999754751686082,0
"California",2022-02-15,0,0,0.000318187603410971,0.999681812396589,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-16,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-16,0,0,0.00351699882766706,0.996483001172333,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-16,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-16,0,0,0,1,0
"Southern California Health Officers",2022-02-16,0,0,0.000270489586150933,0.999729510413849,0
"California",2022-02-16,0,0,0.000352683924666714,0.999647316075333,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-17,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-17,0,0,0.00263852242744063,0.997361477572559,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-17,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-17,0,0,0,1,0
"Southern California Health Officers",2022-02-17,0,0,0.000149009089554463,0.999850990910445,0
"California",2022-02-17,0,0,0.000233136462542742,0.999766863537457,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-18,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-18,0,0,0.00307219662058372,0.996927803379416,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-18,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-18,0,0,0,1,0
"Southern California Health Officers",2022-02-18,0,0,0.000164015089388224,0.999835984910612,0
"California",2022-02-18,0,0,0.000257135510413988,0.999742864489586,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-19,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-19,0,0,0.00337837837837838,0.996621621621622,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-19,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-19,0,0,0,1,0
"Southern California Health Officers",2022-02-19,0,0,0.000173460537727667,0.999826539462272,0
"California",2022-02-19,0,0,0.000275862068965517,0.999724137931034,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-20,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-20,0,0,0.00371747211895911,0.996282527881041,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-20,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-20,0,0,0,1,0
"Southern California Health Officers",2022-02-20,0,0,0.00017940437746681,0.999820595622533,0
"California",2022-02-20,0,0,0.000287935502447452,0.999712064497553,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-21,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-21,0,0,0.00470588235294118,0.995294117647059,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-21,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-21,0,0,0,1,0
"Southern California Health Officers",2022-02-21,0,0,0,1,0
"California",2022-02-21,0,0,0.000229121319738802,0.999770878680261,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-22,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-22,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-22,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-22,0,0,0.000836820083682008,0.999163179916318,0
"Southern California Health Officers",2022-02-22,0,0,0,1,0
"California",2022-02-22,0,0,0.000119875329657157,0.999880124670343,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-23,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-23,0,0,0,1,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-23,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-23,0,0,0.000921658986175115,0.999078341013825,0
"Southern California Health Officers",2022-02-23,0,0,0,1,0
"California",2022-02-23,0,0,0.000131457867753385,0.999868542132247,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-05,0,0,0.000621504039776259,0.999378495960224,0
"Greater Sacramento Region Health Officers",2022-02-05,0,0,0.00205973223480947,0.99794026776519,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-05,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-05,0,0,0.000337381916329285,0.999662618083671,0
"Southern California Health Officers",2022-02-05,0,0,0.00213431986340353,0.997865680136596,0
"California",2022-02-05,0,0,0.00138197899391929,0.998618021006081,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-06,0,0,0.000668449197860963,0.999331550802139,0
"Greater Sacramento Region Health Officers",2022-02-06,0,0,0.00201409869083585,0.997985901309164,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-06,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-06,0,0,0.000337381916329285,0.999662618083671,0
"Southern California Health Officers",2022-02-06,0,0,0.00184974388161639,0.998150256118384,0
"California",2022-02-06,0,0,0.00125944584382872,0.998740554156171,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-07,0,0,0.000693000693000693,0.999306999306999,0
"Greater Sacramento Region Health Officers",2022-02-07,0,0,0.00334448160535117,0.996655518394649,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-07,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-07,0,0,0.000794912559618442,0.999205087440382,0
"Southern California Health Officers",2022-02-07,0,0,0.00139120756816917,0.998608792431831,0
"California",2022-02-07,0,0,0.00123349296183428,0.998766507038166,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-08,0,0,0.000707964601769912,0.99929203539823,0
"Greater Sacramento Region Health Officers",2022-02-08,0,0,0.00246609124537608,0.997533908754624,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-08,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-08,0,0,0.000929800092980009,0.99907019990702,0
"Southern California Health Officers",2022-02-08,0,0,0.00122232785549368,0.998777672144506,0
"California",2022-02-08,0,0,0.00111515872425842,0.998884841275742,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-09,0,0,0.000687049124012367,0.999312950875988,0
"Greater Sacramento Region Health Officers",2022-02-09,0,0,0.00274348422496571,0.997256515775034,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-09,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-09,0,0,0.00107353730542136,0.998926462694579,0
"Southern California Health Officers",2022-02-09,0,0,0.00108873162765378,0.998911268372346,0
"California",2022-02-09,0,0,0.00106642291285801,0.998933577087142,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-10,0,0,0.000320307495195388,0.999679692504805,0
"Greater Sacramento Region Health Officers",2022-02-10,0,0,0.0038265306122449,0.996173469387755,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-10,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-10,0,0,0.00101522842639594,0.998984771573604,0
"Southern California Health Officers",2022-02-10,0,0,0.000750375187593797,0.999249624812406,0
"California",2022-02-10,0,0,0.000846620572879921,0.99915337942712,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-11,0,0,0.000310366232153942,0.999689633767846,0
"Greater Sacramento Region Health Officers",2022-02-11,0,0,0.00346420323325635,0.996535796766744,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-11,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-11,0,0,0.000942951438000943,0.999057048561999,0
"Southern California Health Officers",2022-02-11,0,0,0.00061705541157596,0.999382944588424,0
"California",2022-02-11,0,0,0.000751520120243219,0.999248479879757,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-12,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-12,0,0,0.00224466891133558,0.997755331088664,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-12,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-12,0,0,0.00092378752886836,0.999076212471132,0
"Southern California Health Officers",2022-02-12,0,0,0.000363680446114681,0.999636319553885,0
"California",2022-02-12,0,0,0.000467476960064111,0.999532523039936,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-13,0,0,0,1,0
"Greater Sacramento Region Health Officers",2022-02-13,0,0,0.00227014755959137,0.997729852440409,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-13,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-13,0,0,0.000967117988394584,0.999032882011605,0
"Southern California Health Officers",2022-02-13,0,0,0.000249407656815064,0.999750592343185,0
"California",2022-02-13,0,0,0.000411889888103247,0.999588110111897,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-03,0,0,0.000468603561387067,0.999531396438613,0
"Greater Sacramento Region Health Officers",2022-02-03,0,0,0.000727802037845706,0.999272197962154,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-03,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-03,0,0,0.000290613193839,0.999709386806161,0
"Southern California Health Officers",2022-02-03,0,0,0.00237247924080664,0.997627520759193,0
"California",2022-02-03,0,0,0.00128850884385616,0.998711491156144,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-04,0,0,0.000449943757030371,0.99955005624297,0
"Greater Sacramento Region Health Officers",2022-02-04,0,0,0.000753012048192771,0.999246987951807,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-04,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-04,0,0,0.000291290416545296,0.999708709583455,0
"Southern California Health Officers",2022-02-04,0,0,0.00214438884917798,0.997855611150822,0
"California",2022-02-04,0,0,0.00122426265998887,0.998775737340011,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-21,0,0,0.00458715596330275,0.995412844036697,0
"Greater Sacramento Region Health Officers",2022-01-21,0,0,0.0206766917293233,0.979323308270677,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-21,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-21,0,0,0.015025041736227,0.984974958263773,0
"Southern California Health Officers",2022-01-21,0,0,0.00327489886341745,0.996725101136582,0
"California",2022-01-21,0,0,0.00545717785944983,0.99454282214055,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-22,0,0,0.00521609538002981,0.99478390461997,0
"Greater Sacramento Region Health Officers",2022-01-22,0,0,0.0113851992409867,0.988614800759013,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-22,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-22,0,0,0.0154373927958834,0.984562607204117,0
"Southern California Health Officers",2022-01-22,0,0,0.00282379518072289,0.997176204819277,0
"California",2022-01-22,0,0,0.00480769230769231,0.995192307692308,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-23,0,0,0.00509337860780985,0.99490662139219,0
"Greater Sacramento Region Health Officers",2022-01-23,0,0,0.00889679715302491,0.991103202846975,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-23,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-23,0,0,0.0149750415973378,0.985024958402662,0
"Southern California Health Officers",2022-01-23,0,0,0.00306247447937934,0.996937525520621,0
"California",2022-01-23,0,0,0.00483718735252478,0.995162812647475,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-24,0,0.000480769230769231,0.00480769230769231,0.994711538461539,0
"Greater Sacramento Region Health Officers",2022-01-24,0,0,0.00718132854578097,0.992818671454219,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-24,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-24,0,0,0.0161290322580645,0.983870967741936,0
"Southern California Health Officers",2022-01-24,0,0,0.00173460537727667,0.998265394622723,0
"California",2022-01-24,0,0.000124937531234383,0.00412293853073463,0.995752123938031,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-25,0,0.000492125984251969,0.00344488188976378,0.996062992125984,0
"Greater Sacramento Region Health Officers",2022-01-25,0,0,0.0112781954887218,0.988721804511278,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-25,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-25,0,0,0.00671140939597315,0.993288590604027,0
"Southern California Health Officers",2022-01-25,0,0,0.0023845653587687,0.997615434641231,0
"California",2022-01-25,0,0.000127518490181076,0.00357051772507014,0.996301963784749,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-26,0,0.000476417341591234,0.00333492139113864,0.99618866126727,0
"Greater Sacramento Region Health Officers",2022-01-26,0,0,0.0136186770428016,0.986381322957198,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-26,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-26,0,0,0.00622083981337481,0.993779160186625,0
"Southern California Health Officers",2022-01-26,0,0,0.00275608635737253,0.997243913642627,0
"California",2022-01-26,0,0.000130361100247686,0.00391083300743058,0.995958805892322,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-27,0,0.00043859649122807,0.00175438596491228,0.99780701754386,0
"Greater Sacramento Region Health Officers",2022-01-27,0,0,0.0109489051094891,0.989051094890511,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-27,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-27,0,0,0.00689655172413793,0.993103448275862,0
"Southern California Health Officers",2022-01-27,0,0,0.00168471720818291,0.998315282791817,0
"California",2022-01-27,0,0.000128584287000129,0.00282885431400283,0.997042561398997,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-28,0,0.000422654268808115,0.00126796280642435,0.998309382924768,0
"Greater Sacramento Region Health Officers",2022-01-28,0,0,0.0088809946714032,0.991119005328597,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-28,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-28,0,0,0.00621890547263682,0.993781094527363,0
"Southern California Health Officers",2022-01-28,0,0,0.00199650611429998,0.9980034938857,0
"California",2022-01-28,0,0.000127242651736862,0.00267209568647411,0.997200661661789,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-29,0,0.000426803243704652,0.000426803243704652,0.999146393512591,0
"Greater Sacramento Region Health Officers",2022-01-29,0,0,0.00797448165869218,0.992025518341308,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-29,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-29,0,0,0.00589622641509434,0.994103773584906,0
"Southern California Health Officers",2022-01-29,0,0,0.00234192037470726,0.997658079625293,0
"California",2022-01-29,0,0.000115727346371948,0.00254600162018285,0.997338271033445,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-30,0,0.00034952813701503,0.00034952813701503,0.99930094372597,0
"Greater Sacramento Region Health Officers",2022-01-30,0,0,0.00826446280991736,0.991735537190083,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-30,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-30,0,0,0.00401203610832498,0.995987963891675,0
"Southern California Health Officers",2022-01-30,0,0,0.00252672497570457,0.997473275024295,0
"California",2022-01-30,0,0.000102880658436214,0.00236625514403292,0.997530864197531,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-31,0,0,0.000294637595757219,0.999705362404243,0
"Greater Sacramento Region Health Officers",2022-01-31,0,0,0.00457142857142857,0.995428571428571,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-01-31,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-01-31,0,0,0.00111234705228031,0.99888765294772,0
"Southern California Health Officers",2022-01-31,0,0,0.00287794142542746,0.997122058574573,0
"California",2022-01-31,0,0,0.00197271083347033,0.99802728916653,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-01,0,0,0.00025025025025025,0.99974974974975,0
"Greater Sacramento Region Health Officers",2022-02-01,0,0,0.0017683465959328,0.998231653404067,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-01,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-01,0,0,0.000729660707770887,0.999270339292229,0
"Southern California Health Officers",2022-02-01,0,0,0.00254291163382073,0.997457088366179,0
"California",2022-02-01,0,0,0.0014525835235526,0.998547416476447,0
"Association of Bay Area Health Officers (ABAHO)",2022-02-02,0,0,0.000233590282644242,0.999766409717356,0
"Greater Sacramento Region Health Officers",2022-02-02,0,0,0.000730460189919649,0.99926953981008,0
"Rural Association of Northern California Health Officers (RANCHO)",2022-02-02,0,0,0,1,0
"San Joaquin Valley Consortium (SJVC)",2022-02-02,0,0,0.000596836765144733,0.999403163234855,0
"Southern California Health Officers",2022-02-02,0,0,0.00217894593490399,0.997821054065096,0
"California",2022-02-02,0,0,0.00119617224880383,0.998803827751196,0
"Association of Bay Area Health Officers (ABAHO)",2022-01-18,0,0,0.00542888165038002,0.99457111834962,0
